Patent_Number,Title,Date,CPC,Abstract
"6,665,651",Control system and technique employing reinforcement learning having stability and learning phases,"December 16, 2003",G05B 13/027 (20130101),"A feedback control system for automatic on-line training of a controller for a plant, the system having a reinforcement learning agent connected in parallel with the controller. The learning agent comprises an actor network and a critic network operatively arranged to carry out at least one sequence of a stability phase followed by a learning phase. During the stability phase, a multi-dimensional boundary of values is determined. During the learning phase, a plurality of updated weight values is generated in connection with the on-line training, if and until one of the updated weight values reaches the boundary, at which time a next sequence is carried out to determine a next multi-dimensional boundary of values followed by a next learning phase. Also, a method for automatic on-line training of a feedback controller within a system comprising the controller and a plant by employing a reinforcement learning agent comprising a neural network to carry out at least one sequence comprising a stability phase followed by a learning phase. Further included, a computer executable program code on a computer readable storage medium, for on-line training of a feedback controller within a system comprising the controller and a plant."
"6,601,049",Self-adjusting multi-layer neural network architectures and methods therefor,"July 29, 2003",G06N 3/0454 (20130101); G06K 9/72 (20130101),"A method and apparatus for using a neural network to process information includes multiple nodes arrayed in multiple layers for transforming input arrays from prior layers or the environment into output arrays for subsequent layers or output devices. Learning rules based on reinforcement are applied. Interconnections between nodes are provided in a manner whereby the number and structure of the interconnections are self-adjusted by the learning rules during learning. At least one of the layers is used as a processing layer, and multiple lateral inputs to each node of each processing layer are used to retrieve information. The invention provides rapid, unsupervised processing of complex data sets, such as imagery or continuous human speech, and captures successful processing or pattern classification constellations for implementation in other networks. The invention includes application-specific self-adjusting multi-layer architectures that employ reinforcement learning rules to create updated data arrays for computation."
"6,572,542",System and method for monitoring and controlling the glycemic state of a patient,"June 3, 2003",A61B 5/0472 (20130101); A61B 5/14532 (20130101); A61M 5/14244 (20130101); G16H 50/20 (20180101); G06F 19/3468 (20130101); G06F 19/00 (20130101); A61B 5/7264 (20130101); A61M 2230/04 (20130101); Y10S 128/92 (20130101); Y10S 128/925 (20130101); A61M 2230/201 (20130101),"Information derived from ECG signals and EEG signals may be employed in combination to reliably predict the onset, or to indicate the presence of, hypoglycemia in a human patient. In one embodiment, ECG and EEG signals are processed and the information derived from them is combined to determine whether a patient suffering from diabetes is undergoing a hypoglycemic event, or whether such an event is imminent. Input data from the patient or a health care provider may also be used to increase the accuracy and reliability of the system. Detection of a hypoglycemic event by the system can result in the output of an alarm signal and/or the delivery or administration of a beneficial agent such as insulin, glucagon or diazoxide to the patient. The system may be implantable, external, or a combination of external and implantable components. The control strategy of the present system is preferably microprocessor based and/or implemented using dedicated electronics. In another embodiment, the glycemic state of the patient is continuously or relatively continuously monitored and controlled by the system. The system may contain any of a number of different types of feedback control systems for monitoring the glycemic state of a patient and controlling same, such as fuzzy logic systems, adaptive systems, reinforcement learning systems, and the like."
"6,437,696",Prisoner tracking and warning system and corresponding methods,"August 20, 2002",G08B 21/0233 (20130101); G08B 21/0423 (20130101); G08B 21/0453 (20130101); G08B 21/0469 (20130101); G08B 21/22 (20130101); G07C 9/00111 (20130101),"The present invention discloses a general overall system 30 and a general overall method 10 for tracking, monitoring, and learning prisoner or parolee behavior. The system 30 and method 10 involve obtaining prisoner or parolee data and monitoring data for at least one individual prisoner or parolee 38, storing the prisoner or parolee data and monitoring data into a database, learning prisoner or parolee behavior from the prisoner or parolee data and the monitoring data in the database, and updating the prisoner or parolee data and the monitoring data in the database. The present invention involves learning both individual and aggregate prisoner or parolee behavior from the prisoner or parolee data and the monitoring data in the database. The present invention executes expert system (i.e. including but not limited to fuzzy logic, reinforcement learning, neural networks, artificial intelligence, etc.) algorithms for determining and analyzing deviated behavior by the prisoner or parolee 38. The present invention system 30 and method 10 is able to assign a parole level to the prisoner or parolee 38 and determine whether the prisoner or parolee 38 is to be moved up or down a parole level depending on whether the prisoner or parolee behavior does not constitute or does constitute prisoner or parolee violations. Furthermore, the present invention tracks, monitors, and learns the behavior of the prisoner or parolee 38 by controlling and regulating the permitted/prohibited locations or sectors, the permitted/prohibited location or sector dwell times, the permitted/prohibited travel routes, the permitted/prohibited travel times that the prisoner or parolee 38 spend at or between various locations."
"6,247,001",Method of training a neural network,"June 12, 2001",G06N 3/00 (20060101); G06N 3/08 (20060101); G06F 009/445 (),"A state vector (SV.sub.t) is determined with elements that characterize a financial market (101). Taking into account predetermined evaluation variables, an evaluation (V.sub.t) is determined (102) for the state vector (SV.sub.t). In addition, a chronologically following state vector (SV.sub.t+1) is determined (103) and evaluated (V.sub.t+1). On the basis of the two evaluations (V.sub.t, V.sub.t+1), weights (w.sub.i) of the neural network (NN) are adapted (104) using a reinforcement learning method (.DELTA.w.sub.i)."
"6,054,928",Prisoner tracking and warning system and corresponding methods,"April 25, 2000",G08B 21/0233 (20130101); G08B 21/0423 (20130101); G08B 21/0453 (20130101); G08B 21/0469 (20130101); G08B 21/22 (20130101); G07C 9/00111 (20130101),"A system and method for tracking, monitoring and learning prisoner or parolee behavior involves obtaining prisoner or parolee data and monitoring data for at least one individual prisoner or parolee, storing the prisoner or parolee data and monitored data into a database, learning prisoner or parolee behavior from the prisoner or parolee data and the monitored data in the database, and updating the prisoner or parolee data and the monitored data in the database. Expert system (i.e. including but not limited to fuzzy logic, reinforcement learning, neural networks, artificial intelligence, etc.) algorithms are executed for determining and analyzing deviated behavior by the prisoner or parolee. A parole level is assigned to the prisoner or parolee and it is determined whether the prisoner or parolee is to be moved up or down a parole level depending on whether the prisoner or parolee behavior does not constitute or does constitute prisoner or parolee violations. Furthermore, the system tracks, monitors, and learns the behavior of the prisoner or parolee by controlling and regulating the permitted/prohibited locations or sectors, the permitted/prohibited location or sector dwell times, the permitted/prohibited travel routes, the permitted/prohibited travel times that the prisoner or parolee spends at or between various locations."
"5,810,599",Interactive audio-visual foreign language skills maintenance system and method,"September 22, 1998",G09B 5/065 (20130101); G09B 19/06 (20130101); G09B 7/04 (20130101),"A computer, responsive to user input, controls the presentation of an audio-visual work to a user. Through the selection of several interactive learning options, support and reinforcement of the learning process is provided. In particular, the computer interacts with the user to challenge the user's understanding of the audio-visual work. In connection with the presentation of foreign language works, the user interacts with the computer in role playing, transcription, translation, fill-in-the-blanks and speech repetition activities designed to teach the user to speak the foreign language. Furthermore, as the audio-visual work is presented, a computer generated transcription or translation is displayed for user contemplation, and the user may interact with the computer by requesting the display of grammatical, cultural and geographic notes the further assist in the learning process."
"5,810,599",Interactive audio-visual foreign language skills maintenance system and method,"September 22, 1998",G09B 5/065 (20130101); G09B 19/06 (20130101); G09B 7/04 (20130101),"A computer, responsive to user input, controls the presentation of an audio-visual work to a user. Through the selection of several interactive learning options, support and reinforcement of the learning process is provided. In particular, the computer interacts with the user to challenge the user's understanding of the audio-visual work. In connection with the presentation of foreign language works, the user interacts with the computer in role playing, transcription, translation, fill-in-the-blanks and speech repetition activities designed to teach the user to speak the foreign language. Furthermore, as the audio-visual work is presented, a computer generated transcription or translation is displayed for user contemplation, and the user may interact with the computer by requesting the display of grammatical, cultural and geographic notes the further assist in the learning process."
"5,608,843",Learning controller with advantage updating algorithm,"March 4, 1997",G06N 20/00 (20190101); G05B 13/0265 (20130101),"A new algorithm for reinforcement learning, advantage updating, is proposed. Advantage updating is a direct learning technique; it does not require a model to be given or learned. It is incremental, requiring only a constant amount of calculation per time step, independent of the number of possible actions, possible outcomes from a given action, or number of states. Analysis and simulation indicate that advantage updating is applicable to reinforcement learning systems working in continuous time (or discrete time with small time steps) for which Q-learning is not applicable. Simulation results are presented indicating that for a simple linear quadratic regulator (LQR) problem with no noise and large time steps, advantage updating learns slightly faster than Q-learning. When there is noise or small time steps, advantage updating learns more quickly than Q-learning by a factor of more than 100,000. Convergence properties and implementation issues are discussed. New convergence results are presented for R-learning and algorithms based upon change in value. It is proved that the learning rule for advantage updating converges to the optimal policy with probability one."
"5,455,938",Network based machine instruction generator for design verification,"October 3, 1995",G06F 11/263 (20130101),"A machine instruction generator which generates a sequence of processor test instructions by traversing sites on a network, each of which has a local state corresponding to a group of related machine instructions. The sequence of processor instructions are generated by selecting a site on the network, randomly selecting a machine instruction available at that site by virtue of the local state, adding that machine instruction to a diagnostic file, and moving to an adjacent site. The sequence of machine instructions is concurrently tested on a functional model of the processor and a logical design of the processor. Any discrepancy in the results of these two tests indicates that a bug has been found in the processor. Network paths leading to the discovery of processor bugs may be represented in new generation networks produced by reinforcement learning or genetic operations."
"5,448,681",Intelligent controller with neural network and reinforcement learning,"September 5, 1995",G05B 13/027 (20130101); G06N 3/0436 (20130101); G06N 3/063 (20130101); Y10S 706/907 (20130101); Y10S 706/906 (20130101),"A plant controller using reinforcement learning for controlling a plant includes action and critic networks with enhanced learning for generating a plant control signal. Learning is enhanced within the action network by using a neural network configured to operate according to unsupervised learning techniques based upon a Kohonen Feature Map. Learning is enhanced within the critic network by using a distance parameter which represents the difference between the actual and desired states of the quantitative performance, or output, of the plant when generating the reinforcement signal for the action network."
Quantum Computing Patent Data,Quantum Computing Patent Data,Quantum Computing Patent Data,Quantum Computing Patent Data,Quantum Computing Patent Data
"6,633,053",Method and apparatus for creating at least one qubit in a quantum computing device,"October 14, 2003",B82Y 10/00 (20130101); G06N 10/00 (20190101); G02F 3/00 (20130101); Y10S 977/933 (20130101),"At least one qubit in a quantum computing device is created. At least one photon is placed into a superposition of quantum states. The quantum states each have an associated probability amplitude. The quantum states each are associated with a mode from a group of orthogonal modes. The probability amplitudes associated with the quantum states of the at least one photon are temporally separated thereby forming at least one qubit, the alternative values of which are thus temporally identifiable."
"6,605,822",Quantum phase-charge coupled device,"August 12, 2003",B82Y 10/00 (20130101); H01L 27/18 (20130101); G06N 10/00 (20190101); Y10S 977/933 (20130101); H01L 39/225 (20130101),A method for performing a quantum computing entanglement operation between a phase qubit and a charge qubit. A coherent connection between the phase qubit and the charge qubit is provided. The coherent connection allows the quantum state of the phase qubit and the quantum state of the charge qubit to interact with each other. The coherent connection is modulated for a duration t.sub.e. The phase qubit is connected to the charge qubit during at least a portion of the duration t.sub.e in order to controllably entangle the quantum state of the phase qubit and the quantum state of the charge qubit.
"6,580,102",Four-terminal system for reading the state of a phase qubit,"June 17, 2003",B82Y 10/00 (20130101); G06N 10/00 (20190101); H01L 39/225 (20130101); Y10S 977/838 (20130101); Y10S 977/96 (20130101); Y10S 977/933 (20130101); Y10S 977/812 (20130101); Y10S 977/70 (20130101),"Quantum computing systems and methods that use opposite magnetic moment states read the state of a qubit by applying current through the qubit and measuring a Hall effect voltage across the width of the current. For reading, the qubit is grounded to freeze the magnetic moment state, and the applied current is limited to pulses incapable of flipping the magnetic moment. Measurement of the Hall effect voltage can be achieved with an electrode system that is capacitively coupled to the qubit. An insulator or tunnel barrier isolates the electrode system from the qubit during quantum computing. The electrode system can include a pair of electrodes for each qubit. A readout control system uses a voltmeter or other measurement device that connects to the electrode system, a current source, and grounding circuits. For a multi-qubit system, selection logic can select which qubit or qubits are read."
"6,578,018",System and method for control using quantum soft computing,"June 10, 2003",B82Y 10/00 (20130101); G06N 10/00 (20190101); Y10S 977/933 (20130101),"A methodology and an algorithm for programming a quantum logic algorithm is described. In one embodiment, an algorithm for generating a quantum gate is described. The quantum gate describes the evolution of the quantum computing algorithm and is used to implement a desired quantum algorithm. In one embodiment, the quantum gate is used in a quantum search algorithm to search a number of local solution spaces to find a global solution to be used in a control system to control a plant. In one embodiment, the quantum search algorithm is an iterative algorithm and an entropy-based basis for stopping the iterations is described. In one embodiment, the quantum search algorithm is used to improve a genetic optimizer in the control system."
"6,576,951",Four-terminal system for reading the state of a phase qubit,"June 10, 2003",B82Y 10/00 (20130101); G06N 10/00 (20190101); H01L 39/225 (20130101); Y10S 977/838 (20130101); Y10S 977/96 (20130101); Y10S 977/933 (20130101); Y10S 977/812 (20130101); Y10S 977/70 (20130101),"Quantum computing systems and methods that use opposite magnetic moment states read the state of a qubit by applying current through the qubit and measuring a Hall effect voltage across the width of the current. For reading, the qubit is grounded to freeze the magnetic moment state, and the applied current is limited to pulses incapable of flipping the magnetic moment. Measurement of the Hall effect voltage can be achieved with an electrode system that is capacitively coupled to the qubit. An insulator or tunnel barrier isolates the electrode system from the qubit during quantum computing. The electrode system can include a pair of electrodes for each qubit. A readout control system uses a voltmeter or other measurement device that connects to the electrode system, a current source, and grounding circuits. For a multi-qubit system, selection logic can select which qubit or qubits are read."
"6,573,202",Four-terminal system for reading the state of a phase qubit,"June 3, 2003",B82Y 10/00 (20130101); G06N 10/00 (20190101); H01L 39/225 (20130101); Y10S 977/838 (20130101); Y10S 977/96 (20130101); Y10S 977/933 (20130101); Y10S 977/812 (20130101); Y10S 977/70 (20130101),"Quantum computing systems and methods that use opposite magnetic moment states read the state of a qubit by applying current through the qubit and measuring a Hall effect voltage across the width of the current. For reading, the qubit is grounded to freeze the magnetic moment state, and the applied current is limited to pulses incapable of flipping the magnetic moment. Measurement of the Hall effect voltage can be achieved with an electrode system that is capacitively coupled to the qubit. An insulator or tunnel barrier isolates the electrode system from the qubit during quantum computing. The electrode system can include a pair of electrodes for each qubit. A readout control system uses a voltmeter or other measurement device that connects to the electrode system, a current source, and grounding circuits. For a multi-qubit system, selection logic can select which qubit or qubits are read."
"6,563,311",Quantum computing method using magnetic flux states at a josephson junction,"May 13, 2003",B82Y 10/00 (20130101); H01L 39/225 (20130101); G06N 10/00 (20190101); Y10S 977/933 (20130101); Y10S 505/829 (20130101),"A solid-state quantum computing structure includes a d-wave superconductor in sets of islands that clean Josephson junctions separate from a first superconducting bank. The d-wave superconductor causes the ground state for the supercurrent at each junction to be doubly degenerate, with two supercurrent ground states having distinct magnetic moments. These quantum states of the supercurrents at the junctions create qubits for quantum computing. The quantum states can be uniformly initialized from the bank, and the crystal orientations of the islands relative to the bank influence the initial quantum state and tunneling probabilities between the ground states. A second bank, which a Josephson junction separates from the first bank, can be coupled to the islands through single electron transistors for selectably initializing one or more of the supercurrents in a different quantum state. Single electron transistors can also be used between the islands to control entanglements while the quantum states evolve. After the quantum states have evolved to complete a calculation, grounding the islands, for example, through yet another set of single electron transistors, fixes the junctions in states having definite magnetic moments and facilitates measurement of the supercurrent when determining a result of the quantum computing."
"6,563,310",Quantum computing method using Josephson junctions between s-wave and d-wave superconductors,"May 13, 2003",B82Y 10/00 (20130101); H01L 39/225 (20130101); G06N 10/00 (20190101); Y10S 977/933 (20130101); Y10S 505/829 (20130101),"A solid-state quantum computing structure includes a set of islands that Josephson junctions separate from a first superconducting bank. A d-wave superconductor is on one side of the Josephson junctions (either the islands' side or the bank's side), and an s-wave superconductor forms the other side of the Josephson junctions. The d-wave superconductor causes the ground state for the supercurrent at each junction to be doubly degenerate, with two supercurrent ground states having distinct magnetic moments. These quantum states of the supercurrents at the junctions create qubits for quantum computing. The quantum states can be uniformly initialized from the bank, and the crystal orientations of the islands relative to the bank influence the initial quantum state and tunneling probabilities between the ground states. A second bank, which a Josephson junction separates from the first bank, can be coupled to the islands through single electron transistors for selectably initializing one or more of the supercurrents in a different quantum state. Single electron transistors can also be between the islands to control entanglements while the quantum states evolve. After the quantum states have evolved to complete a calculation, grounding the islands, for example, through yet another set of single electron transistors, fixes the junctions in states having definite magnetic moments and facilitates measurement of the supercurrent when determining a result of the quantum computing."
"6,504,172",Superconducting dot/anti-dot flux qubit based on time-reversal symmetry breaking effects,"January 7, 2003",B82Y 10/00 (20130101); G06N 10/00 (20190101); H01L 39/22 (20130101); Y10S 977/933 (20130101),"A solid-state quantum computing structure includes a dot of superconductive material, where the superconductor possesses a dominant order parameter with a non-zero angular momentum and a sub-dominant order parameter that can have any pairing symmetry. Alternately a solid-state quantum computing structure includes an anti-dot, which is a region in a superconductor where the order parameter is suppressed. In either embodiment of the invention, circulating persistent currents are generated via time-reversal symmetry breaking effects in the boundaries between superconducting and insulating materials. These effects cause the ground state for the supercurrent circulating near the qubit to be doubly degenerate, with two supercurrent ground states having distinct magnetic moments. These quantum states of the supercurrents store quantum information, which creates the basis of qubits for quantum computing. Writing to the qubits and universal single qubit operations may be performed via the application of magnetic fields. Read-out of the information may be performed using a SQUID microscope or a magnetic force microscope."
"6,459,097",Qubit using a Josephson junction between s-wave and d-wave superconductors,"October 1, 2002",B82Y 10/00 (20130101); H01L 39/225 (20130101); G06N 10/00 (20190101); Y10S 977/933 (20130101); Y10S 505/829 (20130101),"A solid-state quantum computing structure includes a set of islands that Josephson junctions separate from a first superconducting bank. A d-wave superconductor is on one side of the Josephson junctions (either the islands' side or the bank's side), and an s-wave superconductor forms the other side of the Josephson junctions. The d-wave superconductor causes the ground state for the supercurrent at each junction to be doubly degenerate, with two supercurrent ground states having distinct magnetic moments. These quantum states of the supercurrents at the junctions create qubits for quantum computing. The quantum states can be uniformly initialized from the bank, and the crystal orientations of the islands relative to the bank influence the initial quantum state and tunneling probabilities between the ground states. A second bank, which a Josephson junction separates from the first bank, can be coupled to the islands through single electron transistors for selectably initializing one or more of the supercurrents in a different quantum state. Single electron transistors can also be between the islands to control entanglements while the quantum states evolve. After the quantum states have evolved to complete a calculation, grounding the islands, for example, through yet another set of single electron transistors, fixes the junctions in states having definite magnetic moments and facilitates measurement of the supercurrent when determining a result of the quantum computing."
"6,218,832",Nuclear magnetic resonance quantum computing method with improved solvents,"April 17, 2001",G06N 10/00 (20190101); B82Y 10/00 (20130101),"A method for nuclear magnetic resonance quantum computing (NMRQC) uses a liquid crystal solvent into which the quantum computing molecules are dissolved. The method allows implementation of more complex quantum algorithms which require execution of many logic gates over the duration of a decoherence time, allows NMRQC clock frequencies to be increased by at least an order of magnitude beyond those achievable using isotropic liquid solvents, and decreases the reinitialization times for a NMR quantum computer without decreasing the computational capability of the molecular systems."
K-Means Clustering Patent Data,K-Means Clustering Patent Data,K-Means Clustering Patent Data,K-Means Clustering Patent Data,K-Means Clustering Patent Data
"7,349,477",Audio-assisted video segmentation and summarization ,"March 25, 2008",G06K 9/00765 (20130101); G06F 16/739 (20190101); G11B 27/28 (20130101),"A method segments a compressed video by extracting audio and visual features from the compressed video. The audio features are clustered according to K-means clustering in a set of classes, and the compressed video is then partitioned into first segments according to the set of classes. The visual features are then used to partitioning each first segment into second segments using motion analysis. Summaries of the second segments can be provided to assist in the browsing of the compressed video."
